"id","username","value"
112,"Leggings-1464570789","Vlan1"
113,"vegan-1639867854","Vlan3"
114,"tofu-1013503726","Vlan2"
115,"high-1017796759","Vlan1"
116,"on-545297991","Vlan8"
117,"Post-ironic-24205094","Vlan5"
118,"Marfa-409849741","Vlan10"
119,"ennui-1261300016","Vlan3"
120,"Bicycle-1052978875","Vlan6"
121,"pour-over-1075434207","Vlan5"
122,"life-1264745022","Vlan1"
123,"brunch-1325500099","Vlan3"
124,"VHS-2028466913","Vlan4"
125,"case-1819402180","Vlan4"
126,"fanny-316100009","Vlan4"
127,"truffaut-180093344","Vlan7"
128,"apparel-406462931","Vlan6"
129,"mcsweeney's-61428432","Vlan5"
130,"park-1555102689","Vlan6"
131,"cosby-621755254","Vlan8"
132,"keffiyeh-497290864","Vlan4"
133,"put-883844976","Vlan2"
134,"life-1274488680","Vlan8"
135,"pack-2139741126","Vlan4"
136,"biodiesel-9300691","Vlan6"
137,"group-2055351473","Vlan2"
138,"park-1915376194","Vlan4"
139,"fact-268036587","Vlan2"
140,"fanny-90249392","Vlan8"
141,"pickled-1032462182","Vlan8"
142,"artisan-545920504","Vlan4"
143,"ennui-1896109077","Vlan4"
144,"jean-1872832619","Vlan2"
145,"irony-359289610","Vlan2"
146,"hand-2058125570","Vlan3"
147,"marfa-1817352575","Vlan9"
148,"Iphone-1350665587","Vlan7"
149,"beer-323217454","Vlan2"
150,"stumptown-1927536030","Vlan4"
151,"fanny-388968331","Vlan4"
152,"denim-114057846","Vlan10"
153,"denim-630203671","Vlan1"
154,"small-1778366675","Vlan7"
155,"work-1271696708","Vlan2"
156,"polaroid-436068928","Vlan5"
157,"odd-617888140","Vlan4"
158,"future-1368065395","Vlan4"
159,"carles-776067543","Vlan1"
160,"Skateboard-730636352","Vlan2"
161,"bushwick-1237109367","Vlan7"
162,"Pop-up-1481674239","Vlan4"
163,"semiotics-1618532347","Vlan4"
164,"direct-539757018","Vlan5"
165,"shorts-1520295406","Vlan9"
166,"occupy-1256753506","Vlan6"
167,"park-60627243","Vlan3"
168,"viral-1861457308","Vlan9"
169,"butcher-2101476778","Vlan1"
170,"Post-ironic-629884290","Vlan9"
171,"small-927517135","Vlan10"
172,"echo-1006366609","Vlan6"
173,"master-620421012","Vlan10"
174,"occupy-2041592723","Vlan1"
175,"raw-1849836636","Vlan3"
176,"brooklyn-378320116","Vlan6"
177,"irony-62497049","Vlan8"
178,"part-53475295","Vlan7"
179,"marfa-1267238092","Vlan5"
180,"hand-1203775612","Vlan4"
181,"trust-1719188688","Vlan1"
182,"occupy-858213415","Vlan10"
183,"chillwave-145504131","Vlan9"
184,"narwhal-673078192","Vlan8"
185,"case-431302644","Vlan9"
186,"pop-up-39731579","Vlan6"
187,"fap-422394551","Vlan4"
188,"heard-881311339","Vlan4"
189,"PBR-1112598719","Vlan10"
190,"high-518065841","Vlan10"
191,"art-1698540198","Vlan6"
192,"truffaut-450330994","Vlan5"
193,"lo-fi-1127815945","Vlan5"
194,"dreamcatcher-137946399","Vlan5"
195,"mlkshk-1846133760","Vlan8"
196,"occupy-1403565290","Vlan1"
197,"craft-1265524299","Vlan1"
198,"cred-1335634681","Vlan1"
199,"place-738447761","Vlan9"
200,"day-1842996263","Vlan9"
201,"craft-1061618604","Vlan8"
202,"jean-424775152","Vlan6"
203,"biodiesel-1823561064","Vlan6"
204,"vinyl-221416196","Vlan3"
205,"jean-1281932209","Vlan1"
206,"life-166955768","Vlan1"
207,"cosby-1544928601","Vlan5"
208,"raw-85496328","Vlan4"
209,"heard-1737423862","Vlan5"
210,"direct-1870799119","Vlan8"
211,"portland-1147064035","Vlan4"
212,"Post-ironic-58505308","Vlan9"
213,"VHS-1405158362","Vlan3"
214,"richardson-1038476112","Vlan4"
215,"terry-1976306722","Vlan8"
216,"richardson-234089072","Vlan3"
217,"you-698585075","Vlan2"
218,"raw-1422837838","Vlan10"
219,"DIY-591232538","Vlan9"
220,"marfa-142284049","Vlan2"
221,"semiotics-931409698","Vlan5"
222,"artisan-819948621","Vlan9"
223,"truffaut-442633927","Vlan7"
224,"VHS-380643712","Vlan2"
225,"truck-278507758","Vlan8"
226,"rights-1625375134","Vlan4"
227,"beer-1224535858","Vlan7"
228,"pickled-2045860725","Vlan9"
229,"raw-173725234","Vlan4"
230,"salvia-844211269","Vlan9"
231,"bird-410518484","Vlan3"
232,"dreamcatcher-535272279","Vlan1"
233,"semiotics-1627829613","Vlan4"
234,"dreamcatcher-914714932","Vlan2"
235,"truffaut-888101225","Vlan9"
236,"high-547356956","Vlan3"
237,"butcher-299574057","Vlan5"
238,"Polaroid-128741810","Vlan2"
239,"terry-117473570","Vlan4"
240,"DIY-1325949280","Vlan4"
241,"carles-1335374344","Vlan1"
242,"street-1584289304","Vlan7"
243,"biodiesel-1627383078","Vlan1"
244,"marfa-1066005059","Vlan6"
245,"ennui-1104686934","Vlan3"
246,"tofu-133027868","Vlan1"
247,"butcher-1386310023","Vlan4"
248,"direct-614041041","Vlan8"
249,"put-461818275","Vlan6"
250,"seitan-925132974","Vlan5"
251,"etsy-1902801153","Vlan4"
252,"butcher-869122942","Vlan2"
253,"irony-1810410155","Vlan6"
254,"fund-1935789154","Vlan8"
255,"pinterest-370652956","Vlan4"
256,"selvage-1567063118","Vlan10"
257,"master-177867069","Vlan9"
258,"readymade-2056906815","Vlan9"
259,"fap-1002030254","Vlan2"
260,"authentic-445691122","Vlan7"
261,"ennui-339702328","Vlan2"
262,"pitchfork-1861269983","Vlan2"
263,"apparel-67823333","Vlan5"
264,"park-1460258128","Vlan4"
265,"craft-322920208","Vlan2"
266,"echo-185483422","Vlan10"
267,"bag-1585492359","Vlan5"
268,"gentrify-1103452432","Vlan9"
269,"eye-1670784572","Vlan5"
270,"butcher-1259749518","Vlan2"
271,"brooklyn-1204622393","Vlan2"
272,"PBR-466466861","Vlan8"
273,"probably-89000826","Vlan3"
274,"semiotics-124690528","Vlan6"
275,"truffaut-951993384","Vlan8"
276,"authentic-1515424037","Vlan9"
277,"Pop-up-1809784339","Vlan7"
278,"heard-1895210499","Vlan7"
279,"tofu-2078780031","Vlan5"
280,"shorts-603396997","Vlan3"
281,"shorts-426897245","Vlan1"
282,"pour-over-1198982784","Vlan3"
283,"trust-1851859968","Vlan8"
284,"salvia-930153775","Vlan8"
285,"denim-658903625","Vlan6"
286,"semiotics-2073953496","Vlan3"
287,"sweater-365656810","Vlan9"
288,"party-29774396","Vlan10"
289,"jean-1859278964","Vlan3"
290,"whatever-1141089079","Vlan3"
291,"artisan-560226490","Vlan5"
292,"semiotics-1781191487","Vlan3"
293,"retro-651116276","Vlan9"
294,"organic-1750736205","Vlan7"
295,"semiotics-2056050100","Vlan5"
296,"way-1745684797","Vlan9"
297,"haven't-546434629","Vlan10"
298,"government-294471710","Vlan6"
299,"terry-1801485446","Vlan10"
300,"apparel-1814921779","Vlan9"
301,"art-2137688775","Vlan2"
302,"Dreamcatcher-833664773","Vlan5"
303,"american-1077474187","Vlan4"
304,"irony-1923463380","Vlan10"
305,"stumptown-2007790062","Vlan4"
306,"helvetica-1278352502","Vlan2"
307,"put-1280083613","Vlan1"
308,"mlkshk-1687694410","Vlan7"
309,"trade-994164076","Vlan6"
310,"skateboard-1388035959","Vlan2"
311,"retro-1279638427","Vlan7"
312,"heard-916922698","Vlan4"
313,"carles-1218236164","Vlan7"
314,"authentic-2001485922","Vlan8"
315,"hella-1243026940","Vlan4"
316,"readymade-1302314016","Vlan5"
317,"vice-504220739","Vlan5"
318,"terry-262379355","Vlan5"
319,"butcher-551135714","Vlan3"
320,"high-1323775874","Vlan5"
321,"life-1499610959","Vlan5"
322,"government-524070796","Vlan4"
323,"life-1440486678","Vlan1"
324,"truffaut-1957604688","Vlan10"
325,"hoodie-1996679321","Vlan7"
326,"put-187700819","Vlan5"
327,"craft-1525586156","Vlan5"
328,"Dreamcatcher-1563940293","Vlan8"
329,"pack-1108975104","Vlan8"
330,"tofu-1549351327","Vlan3"
331,"haven't-1638053399","Vlan1"
332,"synth-169773823","Vlan10"
333,"pinterest-1819950316","Vlan10"
334,"pickled-572389632","Vlan10"
335,"eye-352389778","Vlan2"
336,"kale-2112062600","Vlan8"
337,"art-80621641","Vlan3"
338,"Leggings-1621473356","Vlan8"
339,"fixie-246041189","Vlan8"
340,"pop-up-1285459208","Vlan10"
341,"of-1055408428","Vlan3"
342,"cred-1587998703","Vlan8"
343,"butcher-1073774255","Vlan1"
344,"Umami-1249428827","Vlan1"
345,"eye-1183228197","Vlan10"
346,"american-822769077","Vlan1"
347,"craft-2141975384","Vlan9"
348,"tofu-726523683","Vlan1"
349,"richardson-1368292263","Vlan4"
350,"dreamcatcher-1773069237","Vlan3"
351,"life-825245227","Vlan8"
352,"Brooklyn-668694820","Vlan9"
353,"Lomo-13679144","Vlan10"
354,"thing-241895371","Vlan8"
355,"odd-1305953150","Vlan4"
356,"semiotics-1815055425","Vlan7"
357,"gastropub-1564097439","Vlan10"
358,"vegan-2042632765","Vlan2"
359,"Polaroid-584312875","Vlan7"
360,"mcsweeney's-1048374654","Vlan4"
361,"wolf-2117842339","Vlan4"
362,"jean-1098250947","Vlan6"
363,"stumptown-1843997713","Vlan10"
364,"gastropub-310103308","Vlan10"
365,"beer-1693537416","Vlan8"
366,"chips-1932977164","Vlan7"
367,"whatever-1329796630","Vlan4"
368,"ethnic-1023903028","Vlan6"
369,"fap-1737844644","Vlan1"
370,"semiotics-44307356","Vlan2"
371,"kogi-118684937","Vlan7"
372,"ennui-367800037","Vlan8"
373,"narwhal-1184008548","Vlan10"
374,"truffaut-1406039241","Vlan10"
375,"richardson-322184534","Vlan8"
376,"seitan-409861881","Vlan9"
377,"occupy-962623436","Vlan4"
378,"small-1070839759","Vlan8"
379,"williamsburg-372659932","Vlan4"
380,"american-748370876","Vlan1"
381,"hoodie-1001542017","Vlan2"
382,"butcher-1595476594","Vlan8"
383,"Bicycle-1767019042","Vlan7"
384,"gastropub-700127060","Vlan6"
385,"vegan-790172982","Vlan9"
386,"retro-1702143498","Vlan3"
387,"sweater-1158919658","Vlan3"
388,"etsy-1016129038","Vlan2"
389,"terry-431642533","Vlan2"
390,"tofu-1717736089","Vlan2"
391,"shorts-1199301118","Vlan6"
392,"batch-488569127","Vlan6"
393,"vegan-2072882617","Vlan4"
394,"mcsweeney's-906799578","Vlan3"
395,"before-470153235","Vlan9"
396,"trade-271399342","Vlan6"
397,"fanny-2105277696","Vlan2"
398,"number-1687547677","Vlan4"
399,"party-720390683","Vlan3"
400,"terry-454607018","Vlan1"
401,"ethnic-2041871862","Vlan4"
402,"Pop-up-1249439502","Vlan1"
403,"bird-101736263","Vlan6"
404,"occupy-232270784","Vlan5"
405,"forage-146780130","Vlan8"
406,"pour-over-1802873574","Vlan7"
407,"richardson-1999255765","Vlan6"
408,"american-342364345","Vlan8"
409,"craft-337651694","Vlan5"
410,"child-135653005","Vlan2"
411,"of-1602562504","Vlan4"
412,"Leggings-590058665","Vlan7"
413,"jean-1338160539","Vlan4"
414,"williamsburg-537644032","Vlan3"
415,"pop-up-2128484249","Vlan2"
416,"park-821118598","Vlan1"
417,"sweater-895548486","Vlan1"
418,"probably-405057784","Vlan2"
419,"child-1905706119","Vlan6"
420,"american-191529746","Vlan9"
421,"Leggings-860869085","Vlan10"
422,"godard-1578945091","Vlan6"
423,"marfa-1704958255","Vlan8"
424,"Pop-up-439208371","Vlan6"
425,"place-770678458","Vlan5"
426,"way-346898739","Vlan6"
427,"tofu-1557672476","Vlan2"
428,"carles-163808368","Vlan4"
429,"bird-236217190","Vlan5"
430,"they-1556956825","Vlan9"
431,"beer-708529094","Vlan5"
432,"Vinyl-1699125062","Vlan7"
433,"echo-66371857","Vlan10"
434,"problem-2061836830","Vlan2"
435,"master-196311816","Vlan10"
436,"Cardigan-1067647113","Vlan4"
437,"park-1369920907","Vlan7"
438,"wayfarers-1152376687","Vlan9"
439,"street-1436868733","Vlan10"
440,"put-2030724580","Vlan8"
441,"mcsweeney's-1157460096","Vlan5"
442,"Leggings-1834986329","Vlan9"
443,"carles-451339487","Vlan5"
444,"occupy-1992672555","Vlan5"
445,"shorts-93343497","Vlan6"
446,"portland-304165394","Vlan7"
447,"next-1715540414","Vlan10"
448,"fap-1063452955","Vlan5"
449,"ethical-529391908","Vlan10"
450,"photo-312093357","Vlan1"
451,"party-1019897632","Vlan8"
452,"mlkshk-688719800","Vlan1"
453,"carles-66837935","Vlan10"
454,"government-1741893097","Vlan4"
455,"apparel-1724020707","Vlan10"
456,"case-517046554","Vlan3"
457,"Tofu-966727562","Vlan5"
458,"Vinyl-533325047","Vlan2"
459,"narwhal-1797947346","Vlan10"
460,"hand-437386534","Vlan10"
461,"terry-177062935","Vlan7"
462,"Leggings-998032455","Vlan10"
463,"echo-1141924311","Vlan9"
464,"denim-478460108","Vlan6"
465,"godard-2114547109","Vlan8"
466,"post-ironic-1557667429","Vlan3"
467,"fixie-1989206086","Vlan5"
468,"fund-2093274966","Vlan6"
469,"pop-up-906818699","Vlan6"
470,"next-1916273589","Vlan6"
471,"thundercats-567692048","Vlan5"
472,"beer-709051839","Vlan1"
473,"craft-601583233","Vlan3"
474,"VHS-957611543","Vlan7"
475,"denim-2016378092","Vlan5"
476,"odd-185973142","Vlan2"
477,"case-920860146","Vlan1"
478,"cred-1532055522","Vlan6"
479,"thundercats-957940085","Vlan8"
480,"butcher-1553635425","Vlan5"
481,"point-1147458892","Vlan10"
482,"before-1654467236","Vlan9"
483,"butcher-73974527","Vlan10"
484,"vegan-16653561","Vlan3"
485,"brooklyn-1510084059","Vlan6"
486,"park-641769655","Vlan3"
487,"party-257230170","Vlan7"
488,"pop-up-281204792","Vlan4"
489,"loko-15836396","Vlan3"
490,"raw-1177203834","Vlan10"
491,"freegan-1862285123","Vlan8"
492,"party-1095141770","Vlan2"
493,"ethical-879240168","Vlan7"
494,"sweater-1356846076","Vlan10"
495,"group-449268376","Vlan3"
496,"tofu-632875518","Vlan1"
497,"occupy-510956604","Vlan4"
498,"jean-485349119","Vlan1"
499,"they-589709517","Vlan5"
500,"Vinyl-1646851806","Vlan7"
501,"beer-1669950014","Vlan7"
502,"terry-1912405731","Vlan3"
503,"authentic-615111016","Vlan1"
504,"Umami-1874595686","Vlan10"
505,"vice-1077428317","Vlan9"
506,"richardson-1042594330","Vlan8"
507,"art-56990254","Vlan8"
508,"dreamcatcher-1735869640","Vlan7"
509,"locavore-1528969154","Vlan10"
510,"carles-1846189142","Vlan7"
511,"Dreamcatcher-1152330222","Vlan2"
512,"williamsburg-2073124604","Vlan4"
513,"Leggings-832143862","Vlan2"
514,"brooklyn-677186307","Vlan1"
515,"tofu-1883513660","Vlan5"
516,"vice-789702476","Vlan7"
517,"richardson-2144239796","Vlan5"
518,"direct-1429723055","Vlan3"
519,"cosby-62554246","Vlan7"
520,"Cardigan-1736028817","Vlan9"
521,"child-290501734","Vlan3"
522,"problem-1716089583","Vlan8"
523,"Tofu-1382133347","Vlan7"
524,"Lo-fi-1111682516","Vlan2"
525,"small-1776902783","Vlan4"
526,"direct-1852502563","Vlan9"
527,"pack-899609748","Vlan9"
528,"retro-1881573880","Vlan1"
529,"wayfarers-1532944472","Vlan8"
530,"stumptown-586441482","Vlan7"
531,"park-2114130512","Vlan1"
532,"shorts-878288356","Vlan8"
533,"american-214211627","Vlan2"
534,"shorts-1700828396","Vlan7"
535,"life-2039656159","Vlan1"
536,"polaroid-435746185","Vlan8"
537,"beer-368769187","Vlan10"
538,"odd-528425676","Vlan9"
539,"farm-to-table-313041299","Vlan6"
540,"haven't-394368235","Vlan4"
541,"them-44701627","Vlan4"
542,"echo-18098889","Vlan3"
543,"freegan-769631183","Vlan10"
544,"street-1457598297","Vlan2"
545,"truck-1546768157","Vlan9"
546,"next-493406210","Vlan6"
547,"high-619989702","Vlan1"
548,"fap-972225988","Vlan1"
549,"VHS-1439371502","Vlan10"
550,"richardson-788928714","Vlan4"
551,"locavore-871729576","Vlan9"
552,"sweater-1362654610","Vlan8"
553,"artisan-591773934","Vlan9"
554,"ethnic-603311610","Vlan6"
555,"pickled-1411520528","Vlan2"
556,"tofu-2052868018","Vlan9"
557,"haven't-753466735","Vlan1"
558,"a-1863608967","Vlan10"
559,"mixtape-1609779493","Vlan1"
560,"you-2014512687","Vlan5"
561,"ethical-294974179","Vlan1"
562,"rights-207735599","Vlan10"
563,"batch-234958243","Vlan3"
564,"cosby-131410798","Vlan1"
565,"echo-1787828602","Vlan8"
566,"truffaut-583861482","Vlan5"
567,"party-1779338511","Vlan4"
568,"point-731363078","Vlan1"
569,"problem-1421626329","Vlan2"
570,"chips-1830995378","Vlan8"
571,"sriracha-1589478498","Vlan2"
572,"VHS-1999837953","Vlan4"
573,"stumptown-1437678783","Vlan3"
574,"future-910220799","Vlan9"
575,"lo-fi-1873710591","Vlan2"
576,"food-2026190799","Vlan3"
577,"narwhal-2079639562","Vlan4"
578,"odd-1482333922","Vlan6"
579,"batch-1202519285","Vlan5"
580,"week-227681896","Vlan7"
581,"art-1978430396","Vlan1"
582,"mustache-1123707544","Vlan8"
583,"occupy-1398993097","Vlan6"
584,"Ethnic-886570558","Vlan8"
585,"brooklyn-607243987","Vlan5"
586,"marfa-23385969","Vlan3"
587,"carles-1675346744","Vlan4"
588,"work-874600730","Vlan9"
589,"thing-1742416881","Vlan3"
590,"mlkshk-736151102","Vlan5"
591,"tofu-249295948","Vlan7"
592,"of-1276174621","Vlan5"
593,"hand-135937035","Vlan5"
594,"tofu-820259966","Vlan1"
595,"echo-978185790","Vlan7"
596,"sriracha-1738740281","Vlan5"
597,"occupy-1101836258","Vlan2"
598,"cosby-371539632","Vlan1"
599,"richardson-2041687285","Vlan2"
600,"pitchfork-1102535085","Vlan7"
601,"PBR-1254996262","Vlan5"
602,"synth-1537398619","Vlan3"
603,"readymade-285742770","Vlan7"
604,"DIY-1381021493","Vlan8"
605,"number-1061670739","Vlan1"
606,"artisan-472948161","Vlan1"
607,"Pop-up-2014894776","Vlan3"
608,"stumptown-1759971230","Vlan5"
609,"sriracha-753209918","Vlan1"
610,"it-548943547","Vlan10"
611,"shorts-1267400976","Vlan6"
612,"skateboard-1356078756","Vlan6"
613,"farm-to-table-2072457330","Vlan4"
614,"street-10764899","Vlan6"
615,"company-1977334130","Vlan3"
616,"a-348848466","Vlan2"
617,"ennui-887967914","Vlan8"
618,"richardson-2073241457","Vlan4"
619,"pickled-848383593","Vlan2"
620,"american-1107942449","Vlan4"
621,"Austin-1418107108","Vlan1"
622,"mixtape-597313197","Vlan2"
623,"truffaut-327630634","Vlan8"
624,"pickled-1812427947","Vlan3"
625,"narwhal-1535973198","Vlan1"
626,"Lo-fi-1471426447","Vlan9"
627,"heard-1030955264","Vlan7"
628,"life-1472635070","Vlan7"
629,"etsy-1641921057","Vlan8"
630,"retro-1018929664","Vlan4"
631,"craft-1606763888","Vlan10"
632,"vegan-24637641","Vlan3"
633,"readymade-1090008219","Vlan6"
634,"place-240890074","Vlan4"
635,"pitchfork-1879540563","Vlan5"
636,"apparel-370819932","Vlan4"
637,"Messenger-1635225366","Vlan10"
638,"8-bit-961225671","Vlan1"
639,"Swag-451049480","Vlan7"
640,"Four-398790457","Vlan8"
641,"narwhal-1493029113","Vlan5"
642,"belly-950427525","Vlan3"
643,"lo-fi-1882863635","Vlan5"
644,"park-1773298328","Vlan1"
645,"mustache-2035747403","Vlan8"
646,"number-955002590","Vlan7"
647,"you-85478060","Vlan6"
648,"Iphone-204526270","Vlan6"
649,"street-795121476","Vlan6"
650,"small-1754573908","Vlan9"
651,"heard-1175483175","Vlan1"
652,"irony-13936634","Vlan1"
653,"terry-1767239522","Vlan2"
654,"portland-2109567950","Vlan3"
655,"pop-up-1107793793","Vlan9"
656,"chips-1421799970","Vlan2"
657,"problem-2102414720","Vlan10"
658,"pack-1931018396","Vlan4"
659,"apparel-1480293979","Vlan10"
660,"farm-to-table-1252727814","Vlan3"
661,"marfa-1888481022","Vlan5"
662,"week-1286112200","Vlan5"
663,"a-1519689838","Vlan3"
664,"next-1656579807","Vlan2"
665,"hella-573914282","Vlan2"
666,"williamsburg-915100135","Vlan8"
667,"mlkshk-1006440401","Vlan9"
668,"Messenger-67981994","Vlan10"
669,"ennui-974318487","Vlan5"
670,"high-637115071","Vlan6"
671,"loko-244706290","Vlan2"
672,"place-1566571435","Vlan5"
673,"mustache-103158923","Vlan6"
674,"level-1743306366","Vlan4"
675,"future-1056450634","Vlan10"
676,"cleanse-1228063808","Vlan3"
677,"kale-1525412396","Vlan6"
678,"fap-1173466631","Vlan10"
679,"pour-over-702905159","Vlan8"
680,"number-673078201","Vlan5"
681,"trust-696959659","Vlan2"
682,"american-542903443","Vlan7"
683,"fap-1849692362","Vlan8"
684,"future-860125169","Vlan9"
685,"VHS-464564","Vlan3"
686,"raw-1687999183","Vlan1"
687,"richardson-457178610","Vlan4"
688,"apparel-2127543640","Vlan6"
689,"it-825628549","Vlan5"
690,"bag-1625040303","Vlan4"
691,"authentic-2036568108","Vlan8"
692,"street-1597933588","Vlan1"
693,"pack-1736004921","Vlan3"
694,"marfa-315242601","Vlan10"
695,"direct-1037845682","Vlan7"
696,"gastropub-857645308","Vlan8"
697,"carles-107772","Vlan4"
698,"shorts-1348043861","Vlan2"
699,"Brooklyn-1010241246","Vlan9"
700,"them-1377912653","Vlan9"
701,"direct-222042978","Vlan7"
702,"Iphone-1740076407","Vlan5"
703,"day-1149794028","Vlan4"
704,"stumptown-1137503101","Vlan4"
705,"Ethnic-1633434069","Vlan5"
706,"pinterest-638921258","Vlan9"
707,"farm-to-table-256001959","Vlan4"
708,"apparel-1888459380","Vlan3"
709,"a-897548269","Vlan10"
710,"keffiyeh-1736233935","Vlan6"
711,"of-1953723888","Vlan2"
712,"richardson-1116896471","Vlan4"
713,"government-1254058984","Vlan8"
714,"terry-374984002","Vlan2"
715,"life-325628996","Vlan2"
716,"gastropub-1307717940","Vlan10"
717,"group-294126013","Vlan4"
718,"party-637381732","Vlan5"
719,"Lo-fi-1418441870","Vlan6"
720,"high-643632564","Vlan4"
721,"street-234815516","Vlan9"
722,"richardson-254573371","Vlan9"
723,"year-980640717","Vlan1"
724,"probably-243225444","Vlan9"
725,"mumblecore-1405024698","Vlan9"
726,"tofu-542137893","Vlan8"
727,"you-1541917567","Vlan3"
728,"vinyl-2133964945","Vlan1"
729,"case-388119440","Vlan1"
730,"jean-1567544429","Vlan4"
731,"godard-259399809","Vlan5"
732,"cred-1697932904","Vlan8"
733,"gastropub-250018864","Vlan8"
734,"kale-1126724041","Vlan1"
735,"Umami-2048016916","Vlan4"
736,"park-1514927548","Vlan1"
737,"street-1317941432","Vlan5"
738,"Iphone-1936776648","Vlan4"
739,"next-1460816624","Vlan4"
740,"truck-1822787794","Vlan3"
741,"richardson-78258832","Vlan2"
742,"VHS-617573398","Vlan10"
743,"shorts-329174476","Vlan3"
744,"apparel-16396589","Vlan1"
745,"ennui-1679730443","Vlan10"
746,"bag-1944211204","Vlan8"
747,"VHS-1369205842","Vlan1"
748,"park-572510519","Vlan3"
749,"butcher-287413102","Vlan2"
750,"narwhal-227132480","Vlan6"
751,"you-2052793739","Vlan6"
752,"them-1257097928","Vlan4"
753,"pop-up-335508874","Vlan3"
754,"williamsburg-1338886305","Vlan4"
755,"brunch-1283636120","Vlan7"
756,"sriracha-2118728695","Vlan5"
757,"helvetica-468868519","Vlan2"
758,"pack-1568991258","Vlan7"
759,"life-628811748","Vlan8"
760,"eye-1636460102","Vlan4"
761,"they-460576881","Vlan8"
762,"authentic-1597764118","Vlan8"
763,"rights-200108203","Vlan8"
764,"mixtape-1592009649","Vlan2"
765,"locavore-217809796","Vlan2"
766,"vice-1121841022","Vlan3"
767,"butcher-238009856","Vlan4"
768,"art-1600201958","Vlan8"
